Pal,Attack Buff,Defense Buff,Weakness Amp,Player Conversion,Status Applied,Status Consumed,Resistance,Healing,Mount,Comments
Lamball,,All,,,"Brûlure, Électrisation",,,,,
Cattiva,,,,,"Embourbement, Entrave",,,,,
Chikipi,,,,,"Brûlure, Embourbement, Entrave",,,,,
Lifmunk,,,,,Entrave,,,,,
Fuack,,,,,"Gel, Trempé",,,,,
Fuack Ignis,,,,,"Brûlure, Trempé",,,,,
Vixy,,,,,"Embourbement, Entrave",,,,,
Celaray,,,,,"Entrave, Trempé",,,,,
Celaray Lux,,,,,"Trempé, Électrisation",,,,,
Cremis,,,,,"Embourbement, Électrisation",,,,,
Croajiro,,,,,Trempé,,,,,
Croajiro Noct,,,,,"Cécité, Empoisonnement, Trempé",,,,,
Herbil,,,,,Entrave,,,,,
Teafant,,,,,"Embourbement, Trempé",,,,,
Gumoss,,,,,"Embourbement, Entrave",,,,,
Pupperai,,,,,Embourbement,,,,,
Clovee,,,,,Entrave,,,,,
Jolthog,,,,,Électrisation,,,,,
Jolthog Cryst,,,,,Gel,,,,,
Depresso,,,,,"Cécité, Embourbement, Empoisonnement, Gel",,,,,
Pengullet,,,,,"Gel, Trempé",,,,,
Pengullet Lux,,,,,"Trempé, Électrisation",,,,,
Penking,,,,,"Gel, Trempé",,,,,
Penking Lux,,,,,"Trempé, Électrisation",,,,,
Hoocrates,Dark,,,,"Brûlure, Cécité, Embourbement",,,,,
Melpaca,,,,,"Embourbement, Électrisation",,,,Yes,
Kingpaca,,,,,"Embourbement, Électrisation",,,,Yes,
Kingpaca Cryst,,,,,"Gel, Trempé",,,,Yes,
Daedream,,,,,"Brûlure, Cécité, Empoisonnement, Gel",,,,,
Tanzee,,,,,"Embourbement, Entrave",,,,,
Tanzee Ignis,,,,,Brûlure,,,,,
Nox,,,,,"Brûlure, Cécité",,,,,
Flambelle,,,,,"Brûlure, Embourbement",,,,,
Rooby,,Fire,,,"Brûlure, Entrave",,,,,
Mau,,,,,"Brûlure, Cécité, Embourbement",,,,,
Mau Cryst,,,,,"Embourbement, Gel",,,,,
Rushoar,,,,,Embourbement,,,,Yes,
Foxparks,,,,,"Brûlure, Embourbement",,,,,
Foxparks Cryst,,,,,"Gel, Trempé",,,,,
Killamari,,,,,"Cécité, Empoisonnement, Trempé",,,,,
Killamari Primo,,,,,Trempé,,,,,
Fuddler,,,,,Embourbement,,,,,
Eikthyrdeer,,,,,Embourbement,,,,Yes,
Eikthyrdeer Terra,,,,,Embourbement,,,,Yes,
Direhowl,,,,,"Brûlure, Embourbement",,,,,
Caprity,,,,,"Embourbement, Entrave",,,,,
Caprity Noct,,,,,"Cécité, Empoisonnement, Entrave",,,,,
Swee,,,,,Gel,,,,,
Sweepa,,,,,Gel,,,,Yes,
Turtacle,,,,,Trempé,,,,,
Turtacle Terra,,,,,"Embourbement, Trempé",,,,,
Hangyu,,,,,"Embourbement, Entrave",,,,,
Hangyu Cryst,,,,,Gel,,,,,
Woolipop,,,,,"Embourbement, Entrave, Trempé",,,,,
Woolipop Terra,,,,,Embourbement,,,,,
Mozzarina,,,,,Embourbement,,,,,
Azurobe,Water,,,,"Brûlure, Trempé",,,,Yes,
Azurobe Cryst,Ice,,,,"Brûlure, Gel",,,,Yes,
Sparkit,Electric,,,,"Embourbement, Électrisation",,,,,
Kelpsea,Water,,,,"Brûlure, Trempé",,,,,
Kelpsea Ignis,Fire,,,,Brûlure,,,,,
Ribbuny,Water,,,,Gel,,,,,
Ribbuny Botan,Grass,,Grass,,"Embourbement, Entrave",,,,,
Jelliette,,,,,Trempé,,,,,
Jellroy,,,,,"Brûlure, Cécité, Empoisonnement, Trempé",,,,,
Amione,,,,,Trempé,,,,,
Gloopie,,,,,"Cécité, Trempé",,,,,
Gloopie Primo,,Water,,,Trempé,,,,,
Galeclaw,,,,,"Embourbement, Entrave",,,,,
Wispaw,,,,,"Brûlure, Cécité, Gel",,,,,
Nitewing,,,,,"Embourbement, Entrave",,,,Yes,
Tombat,,,,,"Brûlure, Cécité, Empoisonnement",,,,,
Tocotoco,,,,,"Brûlure, Embourbement",,,,,
Univolt,Electric,,,,Électrisation,,,,Yes,
Univolt Cryst,Ice,,,,Gel,,,,Yes,
Gobfin,,,,,"Gel, Trempé",,,,,
Gobfin Ignis,,,,,"Brûlure, Électrisation",,,,,
Loupmoon,,,,,"Brûlure, Cécité, Gel",,,,,
Loupmoon Cryst,,,,,Gel,,,,,
Cawgnito,,,,,"Brûlure, Cécité",,,,,
Arsox,,,,,"Brûlure, Embourbement",,,,Yes,
Muffly,,,,,Gel,,,,,
Bristla,Grass,,,,"Entrave, Gel",,,,,
Cinnamoth,Water,,,,"Embourbement, Empoisonnement, Entrave",,,,,
Puffolt,,,,,Électrisation,,,,,
Elphidran,,,,,"Brûlure, Entrave",,,,Yes,
Elphidran Aqua,,,,,"Brûlure, Trempé",,,,Yes,
Vanwyrm,,,,,"Brûlure, Cécité",,,,Yes,
Vanwyrm Cryst,,,,,"Cécité, Gel",,,,Yes,
Felbat,,,,,"Brûlure, Cécité, Empoisonnement",,,,,
Vaelet,,,,,"Cécité, Empoisonnement, Entrave",,,,,
Beegarde,,,,,"Brûlure, Empoisonnement, Entrave, Trempé",,,,,
Elizabee,,,,,"Empoisonnement, Entrave",,,,,
Lovander,,,,,"Brûlure, Cécité, Empoisonnement, Trempé",,,,,
Grintale,,,,,Embourbement,,,,Yes,
Tarantriss,,,,,"Cécité, Empoisonnement",,,,Yes,
Polapup,,,,,"Gel, Trempé",,,,Yes,
Polapup Terra,,,,,"Embourbement, Gel",,,,Yes,
Leezpunk,,,,,"Brûlure, Cécité, Empoisonnement",,,,,
Leezpunk Ignis,,,,,"Brûlure, Empoisonnement",,,,,
Gorirat,,,,,"Embourbement, Entrave",,,,,
Gorirat Terra,,,,,Embourbement,,,,,
Surfent,,,,,"Brûlure, Trempé",,,,Yes,
Surfent Terra,,,,,"Brûlure, Embourbement",,,,Yes,
Robinquill,,,,,Entrave,,,,,
Robinquill Terra,,,,,"Embourbement, Entrave",,,,,
Flopie,,,,,"Entrave, Trempé",,,,,
Wixen,,,,Fire,Brûlure,,,,,
Wixen Noct,,,,Dark,"Brûlure, Cécité",,,,,
Katress,,,,,"Brûlure, Cécité",,,,,
Katress Ignis,,,,,"Brûlure, Cécité",,,,,
Helzephyr,Dark,,,,"Brûlure, Cécité",,,,Yes,
Helzephyr Lux,Electric,,,,"Cécité, Électrisation",,,,Yes,
Elgrove,,,,Grass,"Embourbement, Entrave",,,,,
Elgrove Cryst,,,,,"Embourbement, Gel",,,,,
Lunaris,,,,,"Gel, Électrisation",,,,,
Fenglope,,,,,"Gel, Trempé",,,,Yes,
Fenglope Lux,,,,,"Trempé, Électrisation",,,,Yes,
Dinossom,,Dragon,,,"Brûlure, Entrave",,,,Yes,
Dinossom Lux,,Electric,,,"Brûlure, Entrave, Électrisation",,,,Yes,
Bushi,,,,,"Brûlure, Entrave, Gel, Électrisation",,,,,
Bushi Noct,,,,,"Brûlure, Cécité",,,,,
Munchill,,,,,"Gel, Trempé",,,,,
Mammorest,,,,,"Embourbement, Entrave",,,,Yes,
Mammorest Cryst,,,,,"Embourbement, Gel",,,,Yes,
Finsider,,,,Water,Trempé,,,,,
Finsider Ignis,,,,,"Brûlure, Trempé",,,,,
Petallia,,,,,"Entrave, Trempé",,,,,
Petallia Ignis,,,,,"Brûlure, Entrave",,,,,
Leafan,Grass,Grass,,,Entrave,,,,,
Incineram,,,,,"Brûlure, Cécité",,,,,
Incineram Noct,,,,,"Brûlure, Cécité",,,,,
Dazzi,,,,,"Trempé, Électrisation",,,,,
Dazzi Noct,,,,,"Cécité, Trempé, Électrisation",,,,,
Pyrin,Fire,,,,"Brûlure, Embourbement",,,,Yes,
Pyrin Noct,Dark,,,,"Brûlure, Cécité",,,,Yes,
Relaxaurus,,,,,"Brûlure, Trempé",,,,,
Relaxaurus Lux,,,,,"Brûlure, Électrisation",,,,,
Foxcicle,Ice,,,,"Brûlure, Gel",,,,,
Beakon,Electric,,,,"Embourbement, Électrisation",,,,Yes,
Beakon Cryst,Ice,,,,Gel,,,,Yes,
Ghangler,,,,,"Brûlure, Cécité, Trempé",,,,Yes,
Ghangler Ignis,,,,,"Brûlure, Trempé",,,,Yes,
Rayhound,,,,,"Embourbement, Électrisation",,,,Yes,
Rayhound Cryst,,Ice,,,"Embourbement, Gel",,,,Yes,
Menasting,,Electric,,,"Cécité, Embourbement, Empoisonnement",,,,,
Menasting Terra,,Electric,,,"Embourbement, Empoisonnement",,,,,
Needoll,,,,,Entrave,,,,,
Needoll Noct,,,,,"Cécité, Empoisonnement, Entrave",,,,,
Reindrix,,,,,Gel,,,,Yes,
Mossanda,,,,,"Embourbement, Entrave",,,,,
Mossanda Lux,,,,,Électrisation,,,,,
Chillet,Dragon,,,,"Brûlure, Gel",,,,Yes,
Chillet Ignis,Fire,,,,Brûlure,,,,Yes,
Ragnahawk,Fire,,,,"Brûlure, Embourbement",,,,Yes,
Moldron,Fire,,,,"Brûlure, Embourbement",,,,Yes,
Moldron Cryst,Ice,,Ice,,"Embourbement, Gel",,,,Yes,
Palumba,,,,,Entrave,,,,Yes,
Digtoise,,,,,"Embourbement, Trempé",,,,,
Broncherry,,,,,"Embourbement, Entrave",,,,Yes,
Broncherry Aqua,,,,,"Entrave, Trempé",,,,Yes,
Dumud,Ground,,,,"Embourbement, Trempé",,,,,
Dumud Gild,,,,,"Embourbement, Trempé",,,,,
Braloha,,,,,"Embourbement, Entrave",,,,Yes,
Kitsun,,,,,Brûlure,,,,Yes,
Kitsun Noct,,,,,"Brûlure, Cécité",,,,Yes,
Blazehowl,,,,,Brûlure,,,,Yes,
Blazehowl Noct,,,,,"Brûlure, Cécité",,,,Yes,
Warsect,,,,,"Embourbement, Entrave",,,,,
Warsect Terra,,,,,"Embourbement, Entrave, Électrisation",,,,,
Frostplume,,,,,Gel,,,,,
Majex,,,,,"Brûlure, Cécité",,,,,
Sibelyx,,,,,"Brûlure, Gel, Trempé",,,,,
Sibelyx Primo,,,,,Gel,,,,,
Maraith,,,,,"Brûlure, Cécité",,,,Yes,
Shroomer,,,,,"Empoisonnement, Entrave",,,,Yes,
Shroomer Noct,,,,,"Cécité, Empoisonnement, Entrave",,,,Yes,
Icelyn,,,,Ice,Gel,,,,,
Gildra,,,,,"Brûlure, Cécité, Embourbement",,,,,
Jormuntide,,,,,"Brûlure, Trempé, Électrisation",,,,Yes,
Jormuntide Ignis,,,,,"Brûlure, Électrisation",,,,Yes,
Suzaku,,,,,Brûlure,,,,Yes,
Suzaku Aqua,,,,,"Gel, Trempé",,,,Yes,
Dazemu,,,,,Embourbement,,,,Yes,
Quivern,Dragon,,,,"Brûlure, Entrave, Gel, Trempé",,,,Yes,
Quivern Botan,Grass,,,,"Brûlure, Entrave",,,,Yes,
Lullu,,,,,Entrave,,,,,
Kikit,,Ground,,,Embourbement,,,,,
Yakumo,,,,,Embourbement,,,,Yes,
Skutlass,,,,,Trempé,,,,,
Skutlass Ignis,,,,,"Brûlure, Trempé",,,,,
Reptyro,,,,,"Brûlure, Embourbement",,,,Yes,
Reptyro Cryst,,,,,"Embourbement, Gel",,,,Yes,
Starryon,,,,,"Brûlure, Cécité, Embourbement",,,,Yes,
Starryon Primo,,,,,Embourbement,,,,Yes,
Pierdon,,,,,Embourbement,,,,,
Pierdon Cryst,,,,,Gel,,,,,
Cryolinx,,,,,"Embourbement, Gel",,,,,
Cryolinx Terra,,,,,Embourbement,,,,,
Snugloo,,,,,Gel,,,,,
Wumpo,,,,,"Entrave, Gel",,,,Yes,
Wumpo Botan,,,,,"Entrave, Trempé",,,,Yes,
Sootseer,,,,,"Brûlure, Cécité",,,,,
Carnibora,,,,,"Empoisonnement, Entrave",,,,,
Blazamut,All,All,,,"Brûlure, Embourbement",,,,Yes,
Blazamut Ryu,Dragon,,Dragon,,Brûlure,,,,Yes,
Dualith,,,,,"Embourbement, Entrave",,,,Yes,
Dualith Noct,,,,,"Cécité, Embourbement",,,,Yes,
Anubis,,,,Ground,Embourbement,,,,,
Sekhmet,,,,,Embourbement,,,,,
Prixter,,,,,"Cécité, Embourbement, Empoisonnement",,,,,
Prixter Lux,,,,Electric,"Embourbement, Électrisation",,,,,
Tetroise,,,,,Embourbement,,,,Yes,
Tetroise Primo,,,,,Gel,,,,Yes,
Nyafia,,,,,"Cécité, Embourbement, Empoisonnement",,,,,
Mimog,,,,,"Brûlure, Cécité",,,,,
Xenovader,,,,,"Cécité, Empoisonnement",,,,,
Xenogard,,,,,"Brûlure, Gel",,,,Yes,
Prunelia,,,,,"Empoisonnement, Entrave",,,,,
Nitemary,,,,,"Brûlure, Cécité",,,,,
Nitemary Botan,,Grass,,,Entrave,,,,,
Smokie,,,,,"Brûlure, Cécité, Embourbement",,,,,
Smokie Cryst,,,,,"Cécité, Gel",,,,,
Omascul,,,,,Cécité,,,,,
Whalaska,,,,,"Gel, Trempé",,,,Yes,
Whalaska Ignis,,,,,"Brûlure, Gel",,,,Yes,
Verdash,,,,,"Embourbement, Entrave",,,,,
Splatterina,,,,,"Brûlure, Cécité",,,,,
Gildane,Ground,,,,Embourbement,,,,Yes,
Dogen,,,,,Embourbement,,,,,
Bulldosu,,,,,Embourbement,,,,Yes,
Celesdir,,,,,Brûlure,,,,Yes,
Celesdir Noct,,,,,"Brûlure, Cécité",,,,Yes,
Astegon,,,,,"Brûlure, Cécité",,,,Yes,
Knocklem,,,,,Embourbement,,,,,
Knocklem Ignis,,,,,Brûlure,,,,,
Silvegis,,All,,,"Brûlure, Gel",,,,Yes,
Azurmane,,,,,Électrisation,,,,Yes,
Valentail,,,,,Embourbement,,,,,
Snock,,,,,Électrisation,,,,,
Snock Lux,,,,,"Embourbement, Électrisation",,,,,
Souffline,,,,,Entrave,,,,,
Lapiron,,,,,Embourbement,,,,,
Hoodle,,,,,"Brûlure, Cécité",,,,,
Slowatt,,,,,Électrisation,,,,,
Bakemi,,,,,"Brûlure, Cécité",,,,,
Solmora,,,,,Trempé,,,,Yes,
Solmora Lux,Electric,,,,"Trempé, Électrisation",,,,Yes,
Lapure,,,,,Trempé,,,,,
Eidrolon,Dark,,,,Brûlure,,,,Yes,
Eidrolon Ignis,Fire,,,,Brûlure,,,,Yes,
Dynamoff,,,,,Électrisation,,,,Yes,
Tropicaw,,,,,Entrave,,,,,
Flaracle,,,,,"Brûlure, Cécité",,,,,
Ophydia,,,,,"Entrave, Trempé",,,,Yes,
Dupin,Fire,,,,Brûlure,,,,,
Roujay,,,,,Cécité,,,,Yes,
Venusa,,,,,"Brûlure, Cécité, Empoisonnement",,,,,
Mycora,,,,,"Empoisonnement, Entrave",,,,,
Loomen,,,,,"Brûlure, Cécité",,,,,
Wistella,,Dark,,,"Brûlure, Cécité",,,,,
Solenne,,,,,Cécité,,,,,
Renjishi,,,,,Brûlure,,,,,
Aegidron,,,,,"Brûlure, Embourbement",,,,Yes,
Grizzbolt,,,,,Électrisation,,,,,
Lyleen,,,,,"Entrave, Trempé",,,,,
Lyleen Noct,,,,,"Cécité, Gel",,,,,
Orserk,All,All,,,"Brûlure, Électrisation",,,,,
Faleris,,,,,Brûlure,,,,Yes,
Faleris Aqua,,,,,Trempé,,,,Yes,
Shadowbeak,Dark,,,,"Brûlure, Cécité",,,,Yes,
Selyne,,,,,"Brûlure, Cécité, Gel",,,,Yes,
Bastigor,,,,,"Embourbement, Gel",,,,,
Shaolong,Dragon,,,,"Brûlure, Trempé",,,,Yes,
Silvance,,,,,"Entrave, Gel",,,,,
Dandilord,,,,,"Cécité, Entrave",,,,,
Bellanoir,,,,,"Brûlure, Cécité",,,,,
Bellanoir Libero,,,,,"Brûlure, Cécité",,,,,
Xenolord,,,,,"Brûlure, Cécité",,,,Yes,
Hartalis,,,,,Entrave,,,,Yes,
Paladius,,,,,Gel,,,,Yes,
Necromus,,,,,"Brûlure, Cécité, Embourbement",,,,Yes,
Frostallion,Ice,,,,Gel,,,,Yes,
Frostallion Noct,Dark,,,,"Brûlure, Cécité, Gel",,,,Yes,
Neptilius,,,,,Trempé,,,,Yes,
Jetragon,,,,,Brûlure,,,,,
Panthalus,,,,,Trempé,,,,,
Astralym,,,,,,,,,,
Gelée verte,,,,,Entrave,,,,,
Gelée bleue,,,,,Trempé,,,,,
Gelée rouge,,,,,Brûlure,,,,,
Gelée violette,,,,,Cécité,,,,,
Gelée lumineuse,,,,,,,,,,
Gelée arc-en-ciel,,,,,,,,,,
Épée envoûtée,,,,,,,,,,
Chauve-souris des grottes,,,,,,,,,,
Chauve-souris lumineuse,,,,,,,,,,
Œil de Cthulhu,,,,,,,,,,
Œil de démon,Dark,,,,Cécité,,,,,
