Mount,Element,Combat Rating,Travel Rating,Source URL,Data Date
Melpaca,Neutral,2.1,2.7,https://paldb.cc/fr/Melpaca,2026-08-06
Kingpaca,Neutral,2.8,3.2,https://paldb.cc/fr/Kingpaca,2026-08-06
Kingpaca Cryst,Ice,2.8,3.2,https://paldb.cc/fr/Kingpaca_Cryst,2026-08-06
Rushoar,Ground,1.4,2.4,https://paldb.cc/fr/Rushoar,2026-08-06
Eikthyrdeer,Neutral,2.1,2.7,https://paldb.cc/fr/Eikthyrdeer,2026-08-06
Eikthyrdeer Terra,Ground,2.1,2.7,https://paldb.cc/fr/Eikthyrdeer_Terra,2026-08-06
Sweepa,Ice,2.7,3.1,https://paldb.cc/fr/Sweepa,2026-08-06
Azurobe,Water,3.4,2.7,https://paldb.cc/fr/Azurobe,2026-08-06
Azurobe Cryst,Ice,3.7,2.7,https://paldb.cc/fr/Azurobe_Cryst,2026-08-06
Nitewing,Neutral,2.6,2.3,https://paldb.cc/fr/Nitewing,2026-08-06
Univolt,Electric,3.2,3.3,https://paldb.cc/fr/Univolt,2026-08-06
Univolt Cryst,Ice,3.3,3.3,https://paldb.cc/fr/Univolt_Cryst,2026-08-06
Arsox,Fire,2.8,3.2,https://paldb.cc/fr/Arsox,2026-08-06
Elphidran,Dragon,2.5,3.0,https://paldb.cc/fr/Elphidran,2026-08-06
Elphidran Aqua,Dragon,2.7,3.0,https://paldb.cc/fr/Elphidran_Aqua,2026-08-06
Vanwyrm,Fire,3.3,2.6,https://paldb.cc/fr/Vanwyrm,2026-08-06
Vanwyrm Cryst,Ice,3.6,2.6,https://paldb.cc/fr/Vanwyrm_Cryst,2026-08-06
Grintale,Neutral,2.3,3.0,https://paldb.cc/fr/Grintale,2026-08-06
Tarantriss,Dark,3.4,3.0,https://paldb.cc/fr/Tarantriss,2026-08-06
Polapup,Ice,3.4,1.1,https://paldb.cc/fr/Polapup,2026-08-06
Polapup Terra,Ice,3.5,1.1,https://paldb.cc/fr/Polapup_Terra,2026-08-06
Surfent,Water,2.3,2.4,https://paldb.cc/fr/Surfent,2026-08-06
Surfent Terra,Ground,2.8,2.4,https://paldb.cc/fr/Surfent_Terra,2026-08-06
Helzephyr,Dark,4.0,3.3,https://paldb.cc/fr/Helzephyr,2026-08-06
Helzephyr Lux,Dark,4.1,3.3,https://paldb.cc/fr/Helzephyr_Lux,2026-08-06
Fenglope,Neutral,3.4,3.2,https://paldb.cc/fr/Fenglope,2026-08-06
Fenglope Lux,Electric,3.6,3.2,https://paldb.cc/fr/Fenglope_Lux,2026-08-06
Dinossom,Grass,2.7,3.1,https://paldb.cc/fr/Dinossom,2026-08-06
Dinossom Lux,Electric,2.8,3.1,https://paldb.cc/fr/Dinossom_Lux,2026-08-06
Mammorest,Grass,3.3,3.1,https://paldb.cc/fr/Mammorest,2026-08-06
Mammorest Cryst,Ice,3.3,3.1,https://paldb.cc/fr/Mammorest_Cryst,2026-08-06
Pyrin,Fire,2.9,3.9,https://paldb.cc/fr/Pyrin,2026-08-06
Pyrin Noct,Fire,2.9,3.9,https://paldb.cc/fr/Pyrin_Noct,2026-08-06
Beakon,Electric,3.3,3.6,https://paldb.cc/fr/Beakon,2026-08-06
Beakon Cryst,Ice,3.4,3.6,https://paldb.cc/fr/Beakon_Cryst,2026-08-06
Ghangler,Dark,4.0,2.4,https://paldb.cc/fr/Ghangler,2026-08-06
Ghangler Ignis,Fire,4.1,2.4,https://paldb.cc/fr/Ghangler_Ignis,2026-08-06
Rayhound,Electric,2.6,3.5,https://paldb.cc/fr/Rayhound,2026-08-06
Rayhound Cryst,Ice,2.8,3.5,https://paldb.cc/fr/Rayhound_Cryst,2026-08-06
Reindrix,Ice,3.0,3.2,https://paldb.cc/fr/Reindrix,2026-08-06
Chillet,Ice,2.0,3.2,https://paldb.cc/fr/Chillet,2026-08-06
Chillet Ignis,Fire,2.2,3.2,https://paldb.cc/fr/Chillet_Ignis,2026-08-06
Ragnahawk,Fire,3.8,3.9,https://paldb.cc/fr/Ragnahawk,2026-08-06
Moldron,Fire,4.5,2.6,https://paldb.cc/fr/Moldron,2026-08-06
Moldron Cryst,Ice,4.6,2.6,https://paldb.cc/fr/Moldron_Cryst,2026-08-06
Palumba,Grass,4.0,3.0,https://paldb.cc/fr/Palumba,2026-08-06
Broncherry,Grass,3.2,3.1,https://paldb.cc/fr/Broncherry,2026-08-06
Broncherry Aqua,Grass,3.4,3.1,https://paldb.cc/fr/Broncherry_Aqua,2026-08-06
Braloha,Grass,4.0,3.1,https://paldb.cc/fr/Braloha,2026-08-06
Kitsun,Fire,3.7,3.3,https://paldb.cc/fr/Kitsun,2026-08-06
Kitsun Noct,Dark,3.8,3.3,https://paldb.cc/fr/Kitsun_Noct,2026-08-06
Blazehowl,Fire,3.1,3.6,https://paldb.cc/fr/Blazehowl,2026-08-06
Blazehowl Noct,Fire,3.3,3.6,https://paldb.cc/fr/Blazehowl_Noct,2026-08-06
Maraith,Dark,2.6,3.3,https://paldb.cc/fr/Maraith,2026-08-06
Shroomer,Grass,2.5,3.2,https://paldb.cc/fr/Shroomer,2026-08-06
Shroomer Noct,Grass,2.7,3.2,https://paldb.cc/fr/Shroomer_Noct,2026-08-06
Jormuntide,Dragon,4.3,3.0,https://paldb.cc/fr/Jormuntide,2026-08-06
Jormuntide Ignis,Dragon,4.6,3.0,https://paldb.cc/fr/Jormuntide_Ignis,2026-08-06
Suzaku,Fire,3.8,3.3,https://paldb.cc/fr/Suzaku,2026-08-06
Suzaku Aqua,Water,3.9,3.3,https://paldb.cc/fr/Suzaku_Aqua,2026-08-06
Dazemu,Ground,2.4,3.6,https://paldb.cc/fr/Dazemu,2026-08-06
Quivern,Dragon,3.3,4.2,https://paldb.cc/fr/Quivern,2026-08-06
Quivern Botan,Dragon,3.5,4.2,https://paldb.cc/fr/Quivern_Botan,2026-08-06
Yakumo,Neutral,2.2,3.3,https://paldb.cc/fr/Yakumo,2026-08-06
Reptyro,Fire,4.0,3.0,https://paldb.cc/fr/Reptyro,2026-08-06
Reptyro Cryst,Ice,4.2,3.0,https://paldb.cc/fr/Reptyro_Cryst,2026-08-06
Starryon,Dark,3.4,3.8,https://paldb.cc/fr/Starryon,2026-08-06
Starryon Primo,Neutral,3.5,3.8,https://paldb.cc/fr/Starryon_Primo,2026-08-06
Wumpo,Ice,3.2,3.2,https://paldb.cc/fr/Wumpo,2026-08-06
Wumpo Botan,Grass,3.4,3.2,https://paldb.cc/fr/Wumpo_Botan,2026-08-06
Blazamut,Fire,4.5,3.6,https://paldb.cc/fr/Blazamut,2026-08-06
Blazamut Ryu,Dragon,4.8,3.6,https://paldb.cc/fr/Blazamut_Ryu,2026-08-06
Dualith,Ground,4.1,2.4,https://paldb.cc/fr/Dualith,2026-08-06
Dualith Noct,Ground,4.3,2.4,https://paldb.cc/fr/Dualith_Noct,2026-08-06
Tetroise,Ground,4.0,1.6,https://paldb.cc/fr/Tetroise,2026-08-06
Tetroise Primo,Neutral,4.1,1.6,https://paldb.cc/fr/Tetroise_Primo,2026-08-06
Xenogard,Dragon,4.7,3.6,https://paldb.cc/fr/Xenogard,2026-08-06
Whalaska,Ice,4.0,2.3,https://paldb.cc/fr/Whalaska,2026-08-06
Whalaska Ignis,Ice,4.1,2.3,https://paldb.cc/fr/Whalaska_Ignis,2026-08-06
Gildane,Ground,4.1,3.8,https://paldb.cc/fr/Gildane,2026-08-06
Bulldosu,Ground,3.3,2.5,https://paldb.cc/fr/Bulldosu,2026-08-06
Celesdir,Neutral,3.8,3.6,https://paldb.cc/fr/Celesdir,2026-08-06
Celesdir Noct,Dark,4.0,3.6,https://paldb.cc/fr/Celesdir_Noct,2026-08-06
Astegon,Dragon,4.6,3.3,https://paldb.cc/fr/Astegon,2026-08-06
Silvegis,Dragon,4.2,3.2,https://paldb.cc/fr/Silvegis,2026-08-06
Azurmane,Electric,4.5,3.8,https://paldb.cc/fr/Azurmane,2026-08-06
Solmora,Water,2.4,2.7,https://paldb.cc/fr/Solmora,2026-08-06
Solmora Lux,Water,2.6,2.7,https://paldb.cc/fr/Solmora_Lux,2026-08-06
Eidrolon,Dragon,4.7,8.3,https://paldb.cc/fr/Eidrolon,2026-08-06
Eidrolon Ignis,Dragon,4.8,8.3,https://paldb.cc/fr/Eidrolon_Ignis,2026-08-06
Dynamoff,Electric,2.0,3.0,https://paldb.cc/fr/Dynamoff,2026-08-06
Ophydia,Grass,4.6,4.5,https://paldb.cc/fr/Ophydia,2026-08-06
Roujay,Dark,3.7,4.1,https://paldb.cc/fr/Roujay,2026-08-06
Aegidron,Dragon,5.0,3.3,https://paldb.cc/fr/Aegidron,2026-08-06
Faleris,Fire,4.0,4.2,https://paldb.cc/fr/Faleris,2026-08-06
Faleris Aqua,Water,4.0,4.2,https://paldb.cc/fr/Faleris_Aqua,2026-08-06
Shadowbeak,Dark,5.1,4.9,https://paldb.cc/fr/Shadowbeak,2026-08-06
Selyne,Dark,4.4,1.7,https://paldb.cc/fr/Selyne,2026-08-06
Shaolong,Dragon,5.3,8.5,https://paldb.cc/fr/Shaolong,2026-08-06
Xenolord,Dark,4.7,8.2,https://paldb.cc/fr/Xenolord,2026-08-06
Hartalis,Neutral,4.9,5.8,https://paldb.cc/fr/Hartalis,2026-08-06
Paladius,Neutral,5.3,5.5,https://paldb.cc/fr/Paladius,2026-08-06
Necromus,Dark,5.5,5.8,https://paldb.cc/fr/Necromus,2026-08-06
Frostallion,Ice,5.5,5.5,https://paldb.cc/fr/Frostallion,2026-08-06
Frostallion Noct,Dark,5.8,5.5,https://paldb.cc/fr/Frostallion_Noct,2026-08-06
Neptilius,Water,5.2,3.4,https://paldb.cc/fr/Neptilius,2026-08-06
