Pal,Level,Skill
Lamball,1,Roulé-Boulé
Lamball,7,Canon à Air
Lamball,15,Tir Puissant
Lamball,22,Autodestruction
Lamball,30,Boule de Foudre
Lamball,40,Boule d'Énergie
Lamball,50,Hyper Rayon
Lamball,70,Explosion Sacrée
Lamball,1,Roulé-Boulé
Lamball,7,Canon à Air
Lamball,15,Tir Puissant
Lamball,22,Autodestruction
Lamball,30,Boule de Foudre
Lamball,40,Boule d'Énergie
Lamball,50,Hyper Rayon
Lamball,70,Explosion Sacrée
Cattiva,1,Enchaînement de Poings
Cattiva,7,Canon à Air
Cattiva,15,Tir Boueux
Cattiva,22,Tir Puissant
Cattiva,30,Coupe-Rafale
Cattiva,40,Mitraille-Graines
Cattiva,50,Hyper Rayon
Cattiva,70,Explosion Sacrée
Cattiva,1,Enchaînement de Poings
Cattiva,7,Canon à Air
Cattiva,15,Tir Boueux
Cattiva,22,Tir Puissant
Cattiva,30,Coupe-Rafale
Cattiva,40,Mitraille-Graines
Cattiva,50,Hyper Rayon
Cattiva,70,Explosion Sacrée
Chikipi,1,Coup de Bec
Chikipi,7,Canon à Air
Chikipi,15,Tir Puissant
Chikipi,22,Autodestruction
Chikipi,30,Tornade Verte
Chikipi,40,Tornade de Sable
Chikipi,50,Tempête Ardente
Chikipi,70,Explosion Sacrée
Lifmunk,1,Coupe-Rafale
Lifmunk,7,Canon à Air
Lifmunk,15,Tir Puissant
Lifmunk,22,Mitraille-Graines
Lifmunk,30,Boule d'Énergie
Lifmunk,40,Lierre Rampant
Lifmunk,50,Rayon Solaire
Lifmunk,70,Rafale Vent
Fuack,1,Tir Aquatique
Fuack,7,Tir Puissant
Fuack,15,Jet d'Eau
Fuack,22,Missile de Glace
Fuack,30,Tir Bulleux
Fuack,40,Bombao
Fuack,50,Hydro-Laser
Fuack,70,Éruption Aquatique
Fuack Ignis,1,Tir Enflammé
Fuack Ignis,7,Flammes Scindées
Fuack Ignis,15,Tir Bulleux
Fuack Ignis,22,Souffle Enflammé
Fuack Ignis,30,Mur de Flammes
Fuack Ignis,40,Hydro Tranchant
Fuack Ignis,50,Pluie Volcanique
Fuack Ignis,70,Boule Enflammée
Vixy,1,Canon à Air
Vixy,7,Tir Boueux
Vixy,15,Tir Puissant
Vixy,22,Coupe-Rafale
Vixy,30,Mitraille-Graines
Vixy,40,Boule d'Énergie
Vixy,50,Hyper Rayon
Vixy,70,Explosion Sacrée
Celaray,1,Jet d'Eau
Celaray,7,Tir Aquatique
Celaray,15,Tir Puissant
Celaray,22,Tir Bulleux
Celaray,30,Mitraille-Graines
Celaray,40,Bombao
Celaray,50,Hydro-Laser
Celaray,70,Éruption Aquatique
Celaray Lux,1,Lance Foudroyante
Celaray Lux,7,Onde Électrique
Celaray Lux,15,Tir Bulleux
Celaray Lux,22,Éclair Horizontal
Celaray Lux,30,Geyser
Celaray Lux,40,Double-Aqua
Celaray Lux,50,Éclair Fulgurant
Celaray Lux,70,Tempête Éclair
Cremis,1,Canon à Air
Cremis,7,Tir Boueux
Cremis,15,Tir Étincelant
Cremis,22,Tir Puissant
Cremis,30,Onde Électrique
Cremis,40,Boule d'Énergie
Cremis,50,Éclair Fulgurant
Cremis,70,Explosion Sacrée
Croajiro,1,Tir Aquatique
Croajiro,7,Tir Bulleux
Croajiro,15,Pluie Acide
Croajiro,22,Bombao
