Pal,Passive Skill
Cattiva,Lâche
Kingpaca,Poids Lourd
Kingpaca Cryst,Poids Lourd
Lovander,Anormal
Gorirat,Trouble-Fête
Gorirat Terra,Trouble-Fête
Mammorest,Poids Lourd
Mammorest Cryst,Poids Lourd
Relaxaurus,Glouton
Digtoise,Peau dure
Broncherry,Poids Lourd
Broncherry Aqua,Poids Lourd
Braloha,Poids Lourd
Warsect,Peau dure
Warsect Terra,Peau dure
Jormuntide,Seigneur des Mers
Yakumo,Colère Divine
Yakumo,Corps Adamantin
Yakumo,Vigueur Éternelle
Yakumo,Inébranlable
Yakumo,Roi des Vagues
Yakumo,Grand Prince
Yakumo,Légèreté
Yakumo,Maîtrise de la Faim
Yakumo,Maître Éleveur
Yakumo,Maîtrise Exceptionnelle
Yakumo,Sprinteur
Yakumo,Vampire
Yakumo,Coursier Marin
Yakumo,Appliqué
Yakumo,Corps Robuste
Yakumo,Nutritionniste
Yakumo,Apprenti Éleveur
Yakumo,Féroce
Yakumo,Ange Médecin
Yakumo,Infatigable
Yakumo,Chef d'Abattage
Yakumo,Chef d'Extraction
Yakumo,Motivateur
Yakumo,Noble
Yakumo,Philanthrope
Yakumo,Instructeur de Tir
Yakumo,Coursier
Yakumo,Sérénité
Yakumo,Généreux
Yakumo,Stratège de Forteresse
Yakumo,Chef d'Assaut
Yakumo,Guide de l'effort
Yakumo,Acharné
Yakumo,Poids Lourd
Yakumo,Impulsif
Yakumo,Anormal
Yakumo,Rentre-Dedans
Yakumo,Sang de Dragon
Yakumo,Protection Végétale
Yakumo,Brave
Yakumo,Condensateur
Yakumo,Lumineux
Yakumo,Sang Froid
Yakumo,Vaniteux
Yakumo,Frugal
Yakumo,Tueur de Dragons
Yakumo,Parasismique
Yakumo,Belle Fourrure
Yakumo,Force de la Nature
Yakumo,Fragrance Boisée
Yakumo,Peau dure
Yakumo,Sang Chaud
Yakumo,Trouble-Fête
Yakumo,Hydrophile
Yakumo,Impatient
Yakumo,Nocturne
Yakumo,Isolant
Yakumo,Masochiste
Yakumo,Vif
Yakumo,Optimiste
Yakumo,Force Tellurique
Yakumo,Pyromane
Yakumo,Sadique
Yakumo,Sérieux
Yakumo,Nage Fluide
Yakumo,Esprit Zen
Yakumo,Bronzage Naturel
Yakumo,Voile des Ténèbres
Yakumo,Imperméabilité
Yakumo,Soumis
Yakumo,Maladroit
Yakumo,Lâche
Yakumo,Vulnérable aux Coups
Yakumo,Tranquille
Yakumo,Glouton
Yakumo,Pitié
Yakumo,Oiseau de Nuit
Yakumo,Miteux
Yakumo,Reclus
Yakumo,Mentalement Instable
Yakumo,Estomac sans Fond
Yakumo,Soif de Destruction
Yakumo,Os fragiles
Yakumo,Pacifiste
Yakumo,Négligent
Reptyro,Poids Lourd
Reptyro Cryst,Poids Lourd
Pierdon,Poids Lourd
Pierdon Cryst,Poids Lourd
Wumpo,Poids Lourd
Wumpo Botan,Poids Lourd
Blazamut,Empereur Enflammé
Blazamut Ryu,Feu Éternel
Dualith,Poids Lourd
Dualith Noct,Poids Lourd
Anubis,Empereur Terrestre
Xenovader,Organisme Inconnu
Xenogard,Organisme Inconnu
Splatterina,Sadique
Astegon,Peau dure
Knocklem,Poids Lourd
Knocklem Ignis,Poids Lourd
Silvegis,Poids Lourd
Aegidron,Poids Lourd
Lyleen,Divinité de la Forêt
Orserk,Seigneur des Tempêtes
Bellanoir Libero,Sorcière
Xenolord,Envahisseur
Xenolord,Organisme Inconnu
Hartalis,Sauveur
Paladius,Légende
Paladius,Empereur Céleste
Necromus,Légende
Necromus,Seigneur des Enfers
Frostallion,Légende
Frostallion,Empereur Glacial
Frostallion Noct,Légende
Frostallion Noct,Seigneur des Enfers
Neptilius,Légende
Neptilius,Trophée des Flots
Jetragon,Légende
Jetragon,Dragon Divin
