Pal,Index,Primary Element,Secondary Element,Rarity,HP,Attack,Defense,Work Speed,Support,HP Lvl80 Min,HP Lvl80 Max,Attack Lvl80 Min,Attack Lvl80 Max,Defense Lvl80 Min,Defense Lvl80 Max,Combat Rating (/10),Role,Partner Skill,Passive Skill,Mountable,Source URL,Data Date
Lamball,1,Neutral,,1,70,70,70,100,100,3700.0,4540.0,520.0,646.0,470.0,596.0,1.2,All-Rounder,Bouclier Duveteux,,False,https://paldb.cc/fr/Lamball,2026-08-06
Cattiva,2,Neutral,,1,70,70,70,100,100,3700.0,4540.0,520.0,646.0,470.0,596.0,1.2,All-Rounder,Chat Porteur,Lâche,False,https://paldb.cc/fr/Cattiva,2026-08-06
Chikipi,3,Neutral,,1,60,60,60,100,70,3300.0,4020.0,460.0,568.0,410.0,518.0,0.5,All-Rounder,Production d'œufs,,False,https://paldb.cc/fr/Chikipi,2026-08-06
Lifmunk,4,Grass,,1,75,70,70,100,100,3900.0,4800.0,520.0,646.0,470.0,596.0,1.3,All-Rounder,Soutien de Lifmunk,,False,https://paldb.cc/fr/Lifmunk,2026-08-06
Fuack,5,Water,,1,60,80,60,100,100,3300.0,4020.0,580.0,724.0,410.0,518.0,1.1,Attacker,Coud'Surf,,False,https://paldb.cc/fr/Fuack,2026-08-06
Fuack Ignis,5,Water,Fire,2,60,85,60,100,100,3300.0,4020.0,610.0,763.0,410.0,518.0,1.3,Attacker,Tacle de Feu,,False,https://paldb.cc/fr/Fuack_Ignis,2026-08-06
Vixy,6,Neutral,,2,70,70,70,100,140,3700.0,4540.0,520.0,646.0,470.0,596.0,1.2,All-Rounder,Creuse et creuse,,False,https://paldb.cc/fr/Vixy,2026-08-06
Celaray,7,Water,,3,80,70,80,100,100,4100.0,5060.0,520.0,646.0,530.0,674.0,1.6,All-Rounder,Planeur sur Brise,,False,https://paldb.cc/fr/Celaray,2026-08-06
Celaray Lux,7,Water,Electric,4,80,75,80,100,100,4100.0,5060.0,550.0,685.0,530.0,674.0,1.7,All-Rounder,Planair,,False,https://paldb.cc/fr/Celaray_Lux,2026-08-06
Cremis,8,Neutral,,1,70,70,75,100,100,3700.0,4540.0,520.0,646.0,500.0,635.0,1.3,All-Rounder,Laine Soyeuse,,False,https://paldb.cc/fr/Cremis,2026-08-06
Croajiro,9,Water,,4,80,100,85,100,100,4100.0,5060.0,700.0,880.0,560.0,713.0,2.6,All-Rounder,Position Saut,,False,https://paldb.cc/fr/Croajiro,2026-08-06
Croajiro Noct,9,Water,Dark,5,85,110,90,100,100,4300.0,5320.0,760.0,958.0,590.0,752.0,3.1,All-Rounder,Posture Annonciatrice,,False,https://paldb.cc/fr/Croajiro_Noct,2026-08-06
Herbil,10,Grass,Neutral,3,80,75,75,100,100,4100.0,5060.0,550.0,685.0,500.0,635.0,1.6,All-Rounder,Herbapulsion,,False,https://paldb.cc/fr/Herbil,2026-08-06
Teafant,11,Water,,1,70,60,70,100,100,3700.0,4540.0,460.0,568.0,470.0,596.0,0.9,All-Rounder,Douche Apaisante,,False,https://paldb.cc/fr/Teafant,2026-08-06
Gumoss,12,Grass,Ground,10,70,70,70,100,100,3700.0,4540.0,520.0,646.0,470.0,596.0,1.2,All-Rounder,Aide aux Bûcherons,,False,https://paldb.cc/fr/Gumoss,2026-08-06
Pupperai,13,Ground,,2,70,80,70,100,100,3700.0,4540.0,580.0,724.0,470.0,596.0,1.5,All-Rounder,Soutien Sincère,,False,https://paldb.cc/fr/Pupperai,2026-08-06
Clovee,14,Grass,Neutral,2,80,65,65,100,100,4100.0,5060.0,490.0,607.0,440.0,557.0,1.1,All-Rounder,Joyeux Trèfle,,False,https://paldb.cc/fr/Clovee,2026-08-06
Jolthog,15,Electric,,1,70,75,70,100,100,3700.0,4540.0,550.0,685.0,470.0,596.0,1.4,All-Rounder,Bombe Zap,,False,https://paldb.cc/fr/Jolthog,2026-08-06
Jolthog Cryst,15,Ice,,2,70,75,80,100,100,3700.0,4540.0,550.0,685.0,530.0,674.0,1.6,All-Rounder,Bombe Glagla,,False,https://paldb.cc/fr/Jolthog_Cryst,2026-08-06
Depresso,16,Dark,,1,70,70,70,100,100,3700.0,4540.0,520.0,646.0,470.0,596.0,1.2,All-Rounder,Shot de Caféine,,False,https://paldb.cc/fr/Depresso,2026-08-06
Pengullet,17,Water,Ice,1,70,75,70,100,100,3700.0,4540.0,550.0,685.0,470.0,596.0,1.4,All-Rounder,Lance-Pengullet,,False,https://paldb.cc/fr/Pengullet,2026-08-06
Pengullet Lux,17,Water,Electric,2,70,80,70,100,100,3700.0,4540.0,580.0,724.0,470.0,596.0,1.5,All-Rounder,Lance-Pengullet Lux,,False,https://paldb.cc/fr/Pengullet_Lux,2026-08-06
Penking,18,Water,Ice,6,95,95,95,100,100,4700.0,5840.0,670.0,841.0,620.0,791.0,2.9,All-Rounder,Guerrier des Mers,,False,https://paldb.cc/fr/Penking,2026-08-06
Penking Lux,18,Water,Electric,7,100,100,100,100,100,4900.0,6100.0,700.0,880.0,650.0,830.0,3.2,All-Rounder,Commandement Inflexible,,False,https://paldb.cc/fr/Penking_Lux,2026-08-06
Hoocrates,19,Dark,,1,70,70,80,100,100,3700.0,4540.0,520.0,646.0,530.0,674.0,1.4,All-Rounder,Sagesse Obscure,,False,https://paldb.cc/fr/Hoocrates,2026-08-06
Melpaca,20,Neutral,,3,90,75,90,100,100,4500.0,5580.0,550.0,685.0,590.0,752.0,2.1,All-Rounder,Paca-Laine,,True,https://paldb.cc/fr/Melpaca,2026-08-06
Kingpaca,21,Neutral,,8,120,85,90,100,100,5700.0,7140.0,610.0,763.0,590.0,752.0,2.8,All-Rounder,Montagne de Muscles,Poids Lourd,True,https://paldb.cc/fr/Kingpaca,2026-08-06
Kingpaca Cryst,21,Ice,,9,120,85,90,100,100,5700.0,7140.0,610.0,763.0,590.0,752.0,2.8,All-Rounder,Roi des Glaces,Poids Lourd,True,https://paldb.cc/fr/Kingpaca_Cryst,2026-08-06
Daedream,22,Dark,,1,70,75,60,100,100,3700.0,4540.0,550.0,685.0,410.0,518.0,1.1,Attacker,Charognard Onirique,,False,https://paldb.cc/fr/Daedream,2026-08-06
Tanzee,23,Grass,,1,80,70,70,100,100,4100.0,5060.0,520.0,646.0,470.0,596.0,1.4,All-Rounder,Fusil Jovial,,False,https://paldb.cc/fr/Tanzee,2026-08-06
Tanzee Ignis,23,Fire,,2,80,75,70,100,100,4100.0,5060.0,550.0,685.0,470.0,596.0,1.5,All-Rounder,Fou de la Gâchette,,False,https://paldb.cc/fr/Tanzee_Ignis,2026-08-06
Nox,24,Dark,,6,75,85,70,100,140,3900.0,4800.0,610.0,763.0,470.0,596.0,1.7,All-Rounder,Cœur de Pierre,,False,https://paldb.cc/fr/Nox,2026-08-06
Flambelle,25,Fire,,1,60,70,80,100,100,3300.0,4020.0,520.0,646.0,530.0,674.0,1.3,All-Rounder,Larmes de Lave,,False,https://paldb.cc/fr/Flambelle,2026-08-06
Rooby,26,Fire,,2,75,70,75,100,100,3900.0,4800.0,520.0,646.0,500.0,635.0,1.4,All-Rounder,Petite Étincelle,,False,https://paldb.cc/fr/Rooby,2026-08-06
Mau,27,Dark,,1,70,60,70,100,100,3700.0,4540.0,460.0,568.0,470.0,596.0,0.9,All-Rounder,Chercheur d'or,,False,https://paldb.cc/fr/Mau,2026-08-06
Mau Cryst,27,Ice,,2,70,65,70,100,100,3700.0,4540.0,490.0,607.0,470.0,596.0,1.1,All-Rounder,Douche Froide,,False,https://paldb.cc/fr/Mau_Cryst,2026-08-06
Rushoar,28,Ground,,1,80,70,70,100,100,4100.0,5060.0,520.0,646.0,470.0,596.0,1.4,All-Rounder,Tête Dure,,True,https://paldb.cc/fr/Rushoar,2026-08-06
Foxparks,29,Fire,,1,65,75,70,100,100,3500.0,4280.0,550.0,685.0,470.0,596.0,1.3,All-Rounder,Câlin de Flammes,,False,https://paldb.cc/fr/Foxparks,2026-08-06
Foxparks Cryst,29,Ice,,1,65,80,70,100,100,3500.0,4280.0,580.0,724.0,470.0,596.0,1.4,All-Rounder,Câlin Glacé,,False,https://paldb.cc/fr/Foxparks_Cryst,2026-08-06
Killamari,30,Dark,Water,1,60,60,70,100,100,3300.0,4020.0,460.0,568.0,470.0,596.0,0.8,All-Rounder,Calamar Frit,,False,https://paldb.cc/fr/Killamari,2026-08-06
Killamari Primo,30,Neutral,Water,2,70,60,70,100,100,3700.0,4540.0,460.0,568.0,470.0,596.0,0.9,All-Rounder,Aspirêves,,False,https://paldb.cc/fr/Killamari_Primo,2026-08-06
Fuddler,31,Ground,,1,65,80,50,100,100,3500.0,4280.0,580.0,724.0,350.0,440.0,1.0,Attacker,Appui Minier,,False,https://paldb.cc/fr/Fuddler,2026-08-06
Eikthyrdeer,32,Neutral,,5,95,80,80,100,100,4700.0,5840.0,580.0,724.0,530.0,674.0,2.1,All-Rounder,Gardien des Bois,,True,https://paldb.cc/fr/Eikthyrdeer,2026-08-06
Eikthyrdeer Terra,32,Ground,,6,95,80,80,100,100,4700.0,5840.0,580.0,724.0,530.0,674.0,2.1,All-Rounder,Gardien des Bois Dorés,,True,https://paldb.cc/fr/Eikthyrdeer_Terra,2026-08-06
Direhowl,33,Neutral,,2,80,90,75,100,100,4100.0,5060.0,640.0,802.0,500.0,635.0,2.1,All-Rounder,Virée Sauvage,,False,https://paldb.cc/fr/Direhowl,2026-08-06
Caprity,34,Grass,,3,100,70,90,100,120,4900.0,6100.0,520.0,646.0,590.0,752.0,2.1,All-Rounder,Cueillette de baies,,False,https://paldb.cc/fr/Caprity,2026-08-06
Caprity Noct,34,Dark,,3,100,75,90,100,120,4900.0,6100.0,550.0,685.0,590.0,752.0,2.3,All-Rounder,Pince-Venin,,False,https://paldb.cc/fr/Caprity_Noct,2026-08-06
Swee,35,Ice,,1,60,60,60,100,100,3300.0,4020.0,460.0,568.0,410.0,518.0,0.5,All-Rounder,Gouzi-Gouzi,,False,https://paldb.cc/fr/Swee,2026-08-06
Sweepa,36,Ice,,6,100,90,90,100,100,4900.0,6100.0,640.0,802.0,590.0,752.0,2.7,All-Rounder,Gouzi-Gouzi Royal,,True,https://paldb.cc/fr/Sweepa,2026-08-06
